Player,Pos,year,sportsref_predicted_url
Kool-Aid McKinstry,CB,2024,https://www.sports-reference.com/cfb/players/kool-aid-mckinstry-1.html
Kris Abrams-Draine,CB,2024,https://www.sports-reference.com/cfb/players/kris-abrams-draine-1.html
Malik Mustapha,SAF,2024,https://www.sports-reference.com/cfb/players/malik-mustapha-1.html
Marcellas Dial,CB,2024,https://www.sports-reference.com/cfb/players/marcellas-dial-1.html
Max Melton,CB,2024,https://www.sports-reference.com/cfb/players/max-melton-1.html
Mike Sainristil,CB,2024,https://www.sports-reference.com/cfb/players/mike-sainristil-1.html
Nate Wiggins,CB,2024,https://www.sports-reference.com/cfb/players/nate-wiggins-1.html
Nehemiah Pritchett,CB,2024,https://www.sports-reference.com/cfb/players/nehemiah-pritchett-1.html
Quinyon Mitchell,CB,2024,https://www.sports-reference.com/cfb/players/quinyon-mitchell-1.html
Renardo Green,CB,2024,https://www.sports-reference.com/cfb/players/renardo-green-1.html
Sione Vaki,SAF,2024,https://www.sports-reference.com/cfb/players/sione-vaki-1.html
Tarheeb Still,CB,2024,https://www.sports-reference.com/cfb/players/tarheeb-still-1.html
Terrion Arnold,CB,2024,https://www.sports-reference.com/cfb/players/terrion-arnold-1.html
Tykee Smith,SAF,2024,https://www.sports-reference.com/cfb/players/tykee-smith-1.html
Tyler Nubin,SAF,2024,https://www.sports-reference.com/cfb/players/tyler-nubin-1.html
Andrew Mukuba,SAF,2025,https://www.sports-reference.com/cfb/players/andrew-mukuba-1.html
Azareye'h Thomas,CB,2025,https://www.sports-reference.com/cfb/players/azareyeh-thomas-1.html
Benjamin Morrison,CB,2025,https://www.sports-reference.com/cfb/players/benjamin-morrison-1.html
Billy Bowman Jr.,SAF,2025,https://www.sports-reference.com/cfb/players/billy-bowman-jr-1.html
Craig Woodson,SAF,2025,https://www.sports-reference.com/cfb/players/craig-woodson-1.html
Dante Trader Jr.,SAF,2025,https://www.sports-reference.com/cfb/players/dante-trader-jr-1.html
